N	m0	m1	s1
197	63230.88862622747	7975131830.441937	59985.20637505286
198	63872.85969313008	8144612627.79452	60633.36354138041
199	64518.07303782553	8316794467.40114	61285.123137991664
200	65166.52866078349	8491707927.739478	61940.48623411133
201	65818.2265613654	8669386550.445078	62599.45389408556
202	66473.16674022115	8849854661.075895	63262.02717421002
203	67131.34919685456	9033140702.381407	63928.20712526216
204	67792.77393148674	9219280316.764803	64597.994787014766
205	68457.44094437241	9408298729.972452	65271.39119789017
206	69125.35023531683	9600225033.029963	65948.39738470227
207	69796.5018037254	9795089995.028055	66629.01437150179
208	70470.89565012218	9992929056.305365	67313.24317127338
209	71148.5317749421	10193762850.208076	68001.0847947292
210	71829.4101776857	10397629820.529179	68692.54024271922
211	72513.5308581785	10604557356.946405	69387.61051329189
212	73200.89381643271	10814577622.03796	70086.2965928318
213	73891.49905309062	11027718897.093607	70788.59946781171
214	74585.34656718113	11244015117.46263	71494.52011291998
215	75282.43635991555	11463495416.50554	72204.05950018718
216	75982.76842930433	11686195995.801056	72917.21859350371
217	76686.34277760863	11912140673.647762	73633.99835290185
218	77393.15940403177	12141366816.883936	74354.399730152
219	78103.21830755974	12373906465.391922	75078.42367287788
220	78816.51948963047	12609788387.45888	75806.07112047327
221	79533.0629499491	12849044081.078426	76537.34301139892
222	80252.84868756871	13091712108.566933	77272.24027245947
223	80975.87670303196	13337821785.01189	78010.76382887263
224	81702.14699651203	13587400959.261948	78752.91459978667
225	82431.65956822243	13840492281.467972	79498.693496869
226	83164.4144173888	14097119364.575428	80248.10142734215
227	83900.41154511209	14357320896.75432	81001.13929621215
228	84639.65094973457	14621127607.97348	81757.80799607579
229	85382.13263333107	14888580224.60016	82518.10842207118
230	86127.85659410761	15159697717.895243	83282.04145711154
231	86876.82283273712	15434527096.190254	84049.60798571173
232	87629.03134990748	15713094787.383526	84820.80888044261
233	88384.48214382498	15995440901.237247	85595.64501534047
234	89143.17521593122	16281593895.49406	86374.11725317649
235	89905.11056678646	16571591357.133451	87156.22645809088
236	90670.28819459944	16865470411.652706	87941.97348309364
237	91438.70810046267	17163259327.662586	88731.35918213912
238	92210.37028421524	17465001113.41617	89524.38439698893
239	92985.27474562997	17770726144.03067	90321.04997492048
240	93763.421485311	18080464873.686436	91121.35674840995
241	94544.8105020609	18394257166.34181	91925.30555265599
242	95329.44179775316	18712137212.61853	92732.89721175875
243	96117.31537092858	19034153575.91161	93544.13255165242
244	96908.4312212636	19360324651.495808	94359.0123886476
245	97702.7893510155	19690690159.25412	95177.5375383103
246	98500.38975741641	20025289788.70058	95999.7088085505
247	99301.23244092845	20364165917.085373	96825.52700463706
248	100105.3174042064	20707339377.20503	97654.99292850195
249	100912.64464354875	21054860410.039806	98488.107374986
